Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
20,Comunidad de Calatayud,50155,Malanquilla,50,Zaragoza
20,Comunidad de Calatayud,50159,Maluenda,50,Zaragoza
20,Comunidad de Calatayud,50162,Mara,50,Zaragoza
20,Comunidad de Calatayud,50169,Miedes de Aragón,50,Zaragoza
20,Comunidad de Calatayud,50172,Monreal de Ariza,50,Zaragoza
20,Comunidad de Calatayud,50173,Monterde,50,Zaragoza
20,Comunidad de Calatayud,50174,Montón,50,Zaragoza
20,Comunidad de Calatayud,50176,Morata de Jiloca,50,Zaragoza
20,Comunidad de Calatayud,50177,Morés,50,Zaragoza
20,Comunidad de Calatayud,50178,Moros,50,Zaragoza
20,Comunidad de Calatayud,50183,Munébrega,50,Zaragoza
20,Comunidad de Calatayud,50187,Nigüella,50,Zaragoza
20,Comunidad de Calatayud,50192,Nuévalos,50,Zaragoza
20,Comunidad de Calatayud,50194,Olvés,50,Zaragoza
20,Comunidad de Calatayud,50196,Orera,50,Zaragoza
20,Comunidad de Calatayud,50201,Paracuellos de Jiloca,50,Zaragoza
20,Comunidad de Calatayud,50202,Paracuellos de la Ribera,50,Zaragoza
20,Comunidad de Calatayud,50215,Pozuel de Ariza,50,Zaragoza
20,Comunidad de Calatayud,50229,Ruesca,50,Zaragoza
20,Comunidad de Calatayud,50241,Saviñán,50,Zaragoza
20,Comunidad de Calatayud,50242,Sediles,50,Zaragoza
20,Comunidad de Calatayud,50246,Sisamón,50,Zaragoza
20,Comunidad de Calatayud,50253,Terrer,50,Zaragoza
20,Comunidad de Calatayud,50255,Tobed,50,Zaragoza
20,Comunidad de Calatayud,50257,Torralba de Ribota,50,Zaragoza
20,Comunidad de Calatayud,50259,Torrehermosa,50,Zaragoza
20,Comunidad de Calatayud,50260,Torrelapaja,50,Zaragoza
20,Comunidad de Calatayud,50263,Torrijo de la Cañada,50,Zaragoza
20,Comunidad de Calatayud,50277,Valtorres,50,Zaragoza
20,Comunidad de Calatayud,50279,Velilla de Jiloca,50,Zaragoza
20,Comunidad de Calatayud,50282,Vilueña (La),50,Zaragoza
20,Comunidad de Calatayud,50284,Villafeliche,50,Zaragoza
20,Comunidad de Calatayud,50286,Villalba de Perejil,50,Zaragoza
20,Comunidad de Calatayud,50287,Villalengua,50,Zaragoza
20,Comunidad de Calatayud,50293,Villarroya de la Sierra,50,Zaragoza
21,Campo de Cariñena,50004,Aguarón,50,Zaragoza
21,Campo de Cariñena,50005,Aguilón,50,Zaragoza
21,Campo de Cariñena,50007,Aladrén,50,Zaragoza
21,Campo de Cariñena,50018,Alfamén,50,Zaragoza
21,Campo de Cariñena,50073,Cariñena,50,Zaragoza
21,Campo de Cariñena,50088,Cosuenda,50,Zaragoza
21,Campo de Cariñena,50098,Encinacorba,50,Zaragoza
21,Campo de Cariñena,50143,Longares,50,Zaragoza
21,Campo de Cariñena,50167,Mezalocha,50,Zaragoza
21,Campo de Cariñena,50181,Muel,50,Zaragoza
21,Campo de Cariñena,50200,Paniza,50,Zaragoza
21,Campo de Cariñena,50264,Tosos,50,Zaragoza
21,Campo de Cariñena,50290,Villanueva de Huerva,50,Zaragoza
21,Campo de Cariñena,50295,Vistabella,50,Zaragoza
22,Campo de Belchite,50021,Almochuel,50,Zaragoza
